Species,Source,Drydown days,Predawn LWP (MPa),A (umol m-2 s-1),gC (mol m-2 s-1),ca (ppm),D (unitless - Pa / Pa(atm)),T (deg C),C3 / C4,Ht of seedlings,Iabs in measurement chamber (liCor) (umol m-2 s-1),Iabs growth in growth chamber (umol m-2 s-1),Iabs_measurement Comments,Iabs_growth Comment
Glycine max,Liu et al. (2005),21,-1.18,5.6,0.0448,380,0.015,28,3,,1500,1100,,
Glycine max,Liu et al. (2005),21,-1.69,4.18,0.0433,380,0.015,28,3,,1500,1100,,
Glycine max,Liu et al. (2005),21,-1.79,6.03,0.0363,380,0.015,28,3,,1500,1100,,
Glycine max,Liu et al. (2005),21,-2.3,1.43,0.0223,380,0.015,28,3,,1500,1100,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-0.764,9.174,0.097375,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse","maximum photosynthetic photon ?ux density (PPFD) on sunny days in the nearby karst hills ranged from 900 to 1300 ?molm?2 s?1, and the maximum PPFD inside the greenhouse was about 1000 ?molm?2 s?1"
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.248,5.344,0.0327,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.266,2.562,0.016775,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.494,0.9704,0.00686625,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.384,10.33,0.152,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.379251456,3.492,0.029075,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.380551112,1.4818,0.0111875,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.380675644,0.4202,0.0053725,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.102,9.2,0.1175,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.264,4.138,0.0330875,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-1.568,1.932,0.0134125,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera (Linnaeus) L_He ritier ex Ventenat,Liu et al. (2010),120,-2.494,0.76,0.0065925,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.136,6.104,0.0608375,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse",
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.276,3.162,0.039425,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.534,1.3242,0.0221375,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.878,0.3996,0.0143625,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.242,5.906,0.076825,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.464,3.812,0.046125,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.974,2.512,0.03855,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-2.758,0.8648,0.0214875,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.346,6.114,0.07315,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.562,3.328,0.042,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-1.83,1.816,0.0292375,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri H. Leveille,Liu et al. (2010),120,-2.094,0.6002,0.0096325,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-1.114,6.46,0.0600125,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse",
Platycarya longipes Wu,Liu et al. (2010),120,-1.618,2.388,0.0203125,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-2.244,1.3404,0.010405,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-2.982,0.6352,0.0051625,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-1.622,7.518,0.071275,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-1.996,3.488,0.0331375,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-2.638,2.2,0.015825,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-3.208,0.9742,0.0088625,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-1.498,6.97,0.0689,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-1.756,2.406,0.02545,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-2.418,1.392,0.011675,360,0.021,28,3,,1500,1000,,
Platycarya longipes Wu,Liu et al. (2010),120,-2.748,0.705,0.00554625,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-1.218,4.818,0.06135,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse",
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-1.646,2.572,0.0140125,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-2.232,0.6772,0.00612,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-3.368,0.2027,0.0033975,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-1.082,6.392,0.076875,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-2.048,3.082,0.0516625,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-2.854,1.668,0.03245,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-4.428,0.6096,0.014325,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-1.474,6.096,0.0875625,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-1.742,2.69,0.0358,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-2.062,1.1706,0.0195375,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii Maximowicz,Liu et al. (2010),120,-3.216,0.3852,0.0073875,360,0.021,28,3,,1500,1000,,
Rosa cymosa Trattinnick,Liu et al. (2010),120,-1.078,8.236,0.0626375,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse",
Rosa cymosa Trattinnick,Liu et al. (2010),120,-1.436,4.616,0.0329125,360,0.021,28,3,,1500,1000,,
Rosa cymosa Trattinnick,Liu et al. (2010),120,-1.378,9.482,0.10325,360,0.021,28,3,,1500,1000,,
Rosa cymosa Trattinnick,Liu et al. (2010),120,-2.344,5.684,0.0457375,360,0.021,28,3,,1500,1000,,
Rosa cymosa Trattinnick,Liu et al. (2010),120,-2.658,3.18,0.0238875,360,0.021,28,3,,1500,1000,,
Rosa cymosa Trattinnick,Liu et al. (2010),120,-3.88,1.626,0.0140875,360,0.021,28,3,,1500,1000,,
Rosa cymosa Trattinnick,Liu et al. (2010),120,-1.446,8.454,0.0785,360,0.021,28,3,,1500,1000,,
Rosa cymosa Trattinnick,Liu et al. (2010),120,-1.77,6.146,0.0431,360,0.021,28,3,,1500,1000,,
Rosa cymosa Trattinnick,Liu et al. (2010),120,-2.142,3.652,0.016725,360,0.021,28,3,,1500,1000,,
Ficus tikoua,Liu et al. (2011),120,-0.955,8.983,0.16125,360,0.021,28,3,,1500,1100,Growth PPFD = 300-1100 ,Midday PPFD 300-1100
Ficus tikoua,Liu et al. (2011),120,-1.286,5.737,0.083125,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-1.677,4.028,0.06143125,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-2.043,1.0451,0.02564375,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-0.828,9.658,0.17125,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-1.184,6.305,0.0896875,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-1.442,4.543,0.0664875,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-1.887,1.647,0.03265625,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-0.933,9.263,0.165375,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-1.235,6.281,0.0946875,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-1.77,4.467,0.06424375,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-2.102,1.3282,0.04130625,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-0.812,8.916,0.1571875,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-1.269,6.173,0.091625,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-1.89,3.597,0.06946875,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,-2.316,1.2362,0.0334375,360,0.021,28,3,,1500,1100,,
Quercus coccifera,Peguero-Pina et al. (2009),12,-4.26,0.82,0.0249,350,0.02,30,3,,1300,1300,,"90% of natural light, 1300"
Quercus coccifera,Peguero-Pina et al. (2009),12,-2.1,1.42,0.0379,350,0.02,30,3,,1300,1300,,
Quercus coccifera,Peguero-Pina et al. (2009),12,-2.98,0.97,0.0249,350,0.02,30,3,,1300,1300,,
Quercus coccifera,Peguero-Pina et al. (2009),12,-0.1,12.35,0.1364,350,0.02,30,3,,1300,1300,,
Quercus coccifera,Peguero-Pina et al. (2009),12,-0.58,12.08,0.1158,350,0.02,30,3,,1300,1300,,
Quercus coccifera,Peguero-Pina et al. (2009),12,-6.82,0.44,0.0087,350,0.02,30,3,,1300,1300,,
Quercus ilex,Peguero-Pina et al. (2009),12,-3.55,2.19,0.0482,350,0.02,30,3,,1300,1300,,
Quercus ilex,Peguero-Pina et al. (2009),12,-2.59,3.93,0.086,350,0.02,30,3,,1300,1300,,
Quercus ilex,Peguero-Pina et al. (2009),12,-1.68,5.96,0.1191,350,0.02,30,3,,1300,1300,,
Quercus ilex,Peguero-Pina et al. (2009),12,-0.12,12.85,0.2083,350,0.02,30,3,,1300,1300,,
Quercus ilex,Peguero-Pina et al. (2009),12,-4.26,0.97,0.0373,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,-0.47,14.54,0.2808,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,-4.74,2.22,0.0395,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,-4.12,2.22,0.039,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,-1.76,11.3,0.1905,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,-2.84,8.21,0.118,350,0.02,30,3,,1300,1300,,
Helianthus annuus,Tezara et al. (2008),12,-3.043010753,0.665459732,0.019937695,360,0.00815,20,3,,1100,700,mentioned explicitly,"natural (500) + Lamp, max 700"
Helianthus annuus,Tezara et al. (2008),12,-2.76344086,1.773644942,0.019937695,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-2.752688172,1.058810621,0.069781931,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-2.634408602,4.114000439,0.019937695,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-2.623655914,1.052227343,0.069781931,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-2.47311828,2.881281545,0.044859813,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-2.215053763,0.929339478,0.019937695,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-1.935483871,5.506912442,0.064797508,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-1.795698925,3.356923415,0.044859813,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-1.107526882,9.138139127,0.074766355,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-1.107526882,7.403445249,0.144548287,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.698924731,20.95402677,0.323987539,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.698924731,17.17851657,0.368847352,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.634408602,10.1344086,0.174454829,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.559139785,23.70199693,0.259190031,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.559139785,23.08975203,0.269158879,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.559139785,19.41628264,0.762616822,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.215053763,29.70484968,0.618068536,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.215053763,26.74566601,1.046728972,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.215053763,22.25587009,1.221183801,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,-0.150537634,27.66074172,1.091588785,360,0.00815,20,3,,1100,700,,
